,name,formula,mw,chebi,hmdb,kegg,lipidmaps,seed,metacyc,sabiork,reactome,mnxm,bigg
forcoa,Formyl-CoA(4-),C22H32N7O17P3S,791.515,14282;15522;24092;49609;5150;57376,HMDB03419;HMDB06490,C00798,,cpd00592,FORMYL-COA,2158,389578,MNXM563,forcoa_c;M_forcoa;forcoa
forglu,N-Formimidoyl-L-glutamate,C6H9N2O4,173.1472,12502;18327;21705;58928;7274,HMDB00854,,,,,,30158,MNXM496,forglu_c;M_forglu;forglu
fpram,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C8H15N3O8P,312.1943,11474;18413;58478;971,HMDB06211,,,,,,111369,MNXM479745,fpram_c;M_fpram;fpram
fprica,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,C10H13N4O9P,364.2065,12125;18381;18967;574;58467,HMDB01439;HMDB62708,C04734,,cpd02884,PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE,1892,111427,MNXM456,fprica_c;M_fprica;fprica
frdp,Farnesyl diphosphate,C15H25O7P2,379.30400000000003,10700;11488;11491;12854;12874;14231;17407;175763;19789;24016;42496;50277,HMDB00961;HMDB04201,C00448,LMPR0103010002,cpd00350,FARNESYL-PP,5095,191385;2162257;4419987,MNXM34,frdp_c;M_frdp;frdp
fru,D-Fructose,C6H12O6,180.1559,24104;24110;28757;37714;4119;47424;48095;5172,HMDB00660;HMDB62538,C00095;C01496;C05003;C10906;D00114,,cpd00082;cpd19015;cpd27040,CPD-15382;D-Fructopyranose;FRU,1463;1464;25055,189049;29532,MNXM1380,fru_c;M_fru;fru
fuc12gal14acglcgalgluside_cho,Type IIH glycolipid,C51H89N2O27R,,22088;28691;9795,HMDB62482,G00055,,cpd21543,,,,MNXM41359,fuc12gal14acglcgalgluside_cho_g;M_fuc12gal14acglcgalgluside_cho;fuc12gal14acglcgalgluside_cho
fuc132galacglcgal14acglcgalgluside_cho,V3Fuc-nLc6Cer,C50H83N3O37R2,,90360,,G00089,,cpd21574,,,,MNXM7896,fuc132galacglcgal14acglcgalgluside_cho_g;M_fuc132galacglcgal14acglcgalgluside_cho;fuc132galacglcgal14acglcgalgluside_cho
fuc13galacglcgal14acglcgalgluside_cho,III3Fuc-nLc6Cer,,,,,G00076,,cpd21562,,,,MNXM13334,fuc13galacglcgal14acglcgalgluside_cho_c;M_fuc13galacglcgal14acglcgalgluside_cho;fuc13galacglcgal14acglcgalgluside_cho
fuc14galacglcgalgluside_cho,Lea glycolipid,,,21431;28246;6396,,G00046,,cpd21537,,,,MNXM41297,fuc14galacglcgalgluside_cho_c;M_fuc14galacglcgalgluside_cho;fuc14galacglcgalgluside_cho
fuc1p__L,L-Fucose 1-phosphate,C6H11O8P,242.1216,12212;21294;28319;6218,HMDB01265,C02985,,cpd01912,,1605,,MNXM59386,fuc1p__L_c;M_fuc1p__L;fuc1p__L
fuc__L,L-Fucose,C6H12O5,164.1565,13102;18287;21293;2181;48204,HMDB00174;HMDB62489,C01019,,cpd00751;cpd27358,CPD-15619;L-Fucopyranoses;L-fucoses,1601,6784249,MNXM659,fuc__L_c;M_fuc__L;fuc__L
fucacgalfucgalacglcgalgluside_cho,(Gal)2 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1,C65H112N3O36R,,62656,,,,cpd21534,,,,MNXM41051,fucacgalfucgalacglcgalgluside_cho_c;M_fucacgalfucgalacglcgalgluside_cho;fucacgalfucgalacglcgalgluside_cho
fucacngal14acglcgalgluside_cho,"IV3-a-NeuAc,III3-a-Fuc-nLc4Cer",C62H105N3O35R,,62374,,G00063,,cpd21551,,,,MNXM41517,fucacngal14acglcgalgluside_cho_c;M_fucacngal14acglcgalgluside_cho;fucacngal14acglcgalgluside_cho
fucacngalacglcgalgluside_cho,"IV3-a-Neu5Ac,III4-a-Fuc-Lc4Cer",,,,,G00048,,cpd21539,,,,MNXM13395,fucacngalacglcgalgluside_cho_c;M_fucacngalacglcgalgluside_cho;fucacngalacglcgalgluside_cho
fucfuc12gal14acglcgalgluside_cho,Ley glycolipid,C57H99N2O31R,,62562,,G00056,,cpd21544,,,,MNXM41357,fucfuc12gal14acglcgalgluside_cho_c;M_fucfuc12gal14acglcgalgluside_cho;fucfuc12gal14acglcgalgluside_cho
fucfuc132galacglcgal14acglcgalgluside_cho,"V3Fuc,III3Fuc-nLc6Cer",,,,,G00090,,cpd21575,,,,MNXM13386,fucfuc132galacglcgal14acglcgalgluside_cho_c;M_fucfuc132galacglcgal14acglcgalgluside_cho;fucfuc132galacglcgal14acglcgalgluside_cho
fucfucfucgalacglc13galacglcgal14acglcgalgluside_cho,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1,,,,,,,cpd21571,,,,MNXM163062,fucfucfucgalacglc13galacglcgal14acglcgalgluside_cho_c;M_fucfucfucgalacglc13galacglcgal14acglcgalgluside_cho;fucfucfucgalacglc13galacglcgal14acglcgalgluside_cho
fucfucfucgalacglcgal14acglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)3 (Cer)1,,,,,,,cpd21567,,,,MNXM163061,fucfucfucgalacglcgal14acglcgalgluside_cho_c;M_fucfucfucgalacglcgal14acglcgalgluside_cho;fucfucfucgalacglcgal14acglcgalgluside_cho
fucfucgalacglc13galacglcgal14acglcgalgluside_cho,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,C85H145N4O51R,,61644,,,,cpd21565;cpd21570,,,,MNXM41358,fucfucgalacglc13galacglcgal14acglcgalgluside_cho_g;M_fucfucgalacglc13galacglcgal14acglcgalgluside_cho;M_fucfucgalacglcgalacglcgal14acglcgalgluside_cho;fucfucgalacglc13galacglcgal14acglcgalgluside_cho;fucfucgalacglcgalacglcgal14acglcgalgluside_cho
fucfucgalacglcgal14acglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1,,,,,,,cpd21566,,,,MNXM163979,fucfucgalacglcgal14acglcgalgluside_cho_g;M_fucfucgalacglcgal14acglcgalgluside_cho;fucfucgalacglcgal14acglcgalgluside_cho
fucfucgalacglcgalgluside_cho,Leb glycolipid,C56H99N2O30RCO,,,,,,,,,,MNXM163420,fucfucgalacglcgalgluside_cho_c;M_fucfucgalacglcgalgluside_cho;fucfucgalacglcgalgluside_cho
fucgal14acglcgalgluside_cho,Lacto-N-fucopentaosyl III ceramide,C36H60N2O27R2,,90379,,G00060,,cpd21548,,,,MNXM13369,fucgal14acglcgalgluside_cho_c;M_fucgal14acglcgalgluside_cho;fucgal14acglcgalgluside_cho
fucgalacgalfuc12gal14acglcgalgluside_cho,Type IIIH glycolipid,C71H122N3O41R,,22090;27718;9797,,G00058,,cpd21546,,,,MNXM41295,fucgalacgalfuc12gal14acglcgalgluside_cho_g;M_fucgalacgalfuc12gal14acglcgalgluside_cho;fucgalacgalfuc12gal14acglcgalgluside_cho
fucgalacgalfucgalacglcgal14acglcgalgluside_cho,(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)2 (Cer)1,,,,,,,cpd21560,,,,MNXM163982,fucgalacgalfucgalacglcgal14acglcgalgluside_cho_g;M_fucgalacgalfucgalacglcgal14acglcgalgluside_cho;fucgalacgalfucgalacglcgal14acglcgalgluside_cho
fucgalacglc13galacglcgal14acglcgalgluside_cho,(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)1 (Cer)1,,,,,,,cpd21569,,,,MNXM163983,fucgalacglc13galacglcgal14acglcgalgluside_cho_g;M_fucgalacglc13galacglcgal14acglcgalgluside_cho;fucgalacglc13galacglcgal14acglcgalgluside_cho
fucgalacglcgal14acglcgalgluside_cho,VI2Fuc-nLc6,C65H112N3O37R,,61648,HMDB62449,G00071,,cpd21557,,,,MNXM41360,fucgalacglcgal14acglcgalgluside_cho_g;M_fucgalacglcgal14acglcgalgluside_cho;fucgalacglcgal14acglcgalgluside_cho
fucgalacglcgalgluside_cho,Type IH glycolipid,C50H89N2O26RCO,,,,,,,,,,MNXM163601,fucgalacglcgalgluside_cho_g;M_fucgalacglcgalgluside_cho;fucgalacglcgalgluside_cho
fucgalfucgalacglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)2 (Cer)1,,,,,,,cpd21532,,,,MNXM163060,fucgalfucgalacglcgalgluside_cho_c;M_fucgalfucgalacglcgalgluside_cho;fucgalfucgalacglcgalgluside_cho
fucgalgbside_cho,Fucosyl galactosylgloboside,C56H99N2O31RCO,,,,,,,,,,MNXM163390,fucgalgbside_cho_c;M_fucgalgbside_cho;fucgalgbside_cho
fum,Fumarate,C4H2O4,114.0574,14284;18012;24122;24124;29806;37154;42511;42743;5190,HMDB00134,C00122;D02308,,cpd00106,FUM,1910,113588;29586,MNXM93,fum_c;M_fum;fum
fumpyr,3-Fumarylpyruvate,C7H4O6,184.1042,11796;1506;16854;20024;47940;47941,HMDB60371,C02514,,cpd01653,CPD-277,,,MNXM162338,fumpyr_c;M_fumpyr;fumpyr
g16bp,D Glucose 1 6 bisphosphate C6H10O12P2,C6H10O12P2,,,,,,,,,,MNXM164700,g16bp_c;M_g16bp;g16bp
g1m6masnB1,Glucosyl-(alpha-D-mannosyl)6-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C64H107N2O50X,,,,,,,,,,MNXM7383,g1m6masnB1_g;M_g1m6masnB1;g1m6masnB1
g1m7masnB,"Glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)",C70H117N2O55X,,,,,,,,,,MNXM7384,g1m7masnB_g;M_g1m7masnB;g1m7masnB
g1m7masnC,"Glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform C (protein)",C70H117N2O55X,,,,,,,,,,MNXM7385,g1m7masnC_g;M_g1m7masnC;g1m7masnC
g1m8masn,(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C76H127N2O60X,,,,,,,,,,MNXM5381,g1m8masn_g;M_g1m8masn;g1m8masn
g1m8mpdol,Alpha-D-Glucosyl-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,,,10248,,,,,,,,MNXM41179,g1m8mpdol_r;M_g1m8mpdol;g1m8mpdol
g1p,D-Glucose 1-phosphate,C6H11O9P,258.121,12967;16077;21001;4169;57629,HMDB01306;HMDB01586,C00103,,cpd00089;cpd28817,D-glucose-1-phosphates,1450;23742,29548,MNXM89588,g1p_c;M_g1p;g1p
g2m8masn,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C82H137N2O65X,,,,,,,,,,MNXM6531,g2m8masn_g;M_g2m8masn;g2m8masn
g2m8mpdol,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,,,458,,,,,,,,MNXM31415,g2m8mpdol_r;M_g2m8mpdol;g2m8mpdol
g3m8masn,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C88H147N2O70X,,,,,,,,,,MNXM6013,g3m8masn_g;M_g3m8masn;g3m8masn
g3m8mpdol,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol,C183H302N2O77P2,,,,,,,,,,MNXM163974,g3m8mpdol_r;M_g3m8mpdol;g3m8mpdol
g3p,Glyceraldehyde 3-phosphate,C3H5O6P,168.0431,12983;12984;14333;17138;181;18324;21026;29052;5446;58027;59776,HMDB01112,C00118;C00661,,cpd00102;cpd19005,GAP,1687;27,29578,MNXM74,g3p_c;M_g3p;g3p
g3pc,Sn-Glycero-3-phosphocholine,C8H20NO6P,257.2213,10646;12841;12847;14343;16870;26697;41458;55397;76433,,C00670;D07349,,cpd29571,L-1-GLYCERO-PHOSPHORYLCHOLINE,5173,,MNXM367,g3pc_c;M_g3pc;g3pc
g6p,D-Glucose 6-phosphate,C6H11O9P,258.121,14314;4170;61548,HMDB01401;HMDB01549;HMDB06793,C00092,,cpd00079;cpd26836,D-glucopyranose-6-phosphate,1404;1405,1629756,MNXM160,g6p_c;M_g6p;g6p
ga1_cho,Gibberellin A1(1-),C19H23O6,347.3829,14304;24235;27717;5341;58524;59506,,C00859,LMPR0104170001,cpd00640,CPD1F-139,5282,,MNXM1832,ga1_cho_g;M_ga1_cho;ga1_cho
ga2_cho,GA2,C39H69N2O18R,,21149;27731;5208;78545,,C06135;G00123,,cpd03656,,8413,,MNXM63441,ga2_cho_g;M_ga2_cho;ga2_cho
gacpail_cho,Glucosaminyl-acylphosphatidylinositol,C31H58NO14PRCO2R2CO2,,,,,,,,,,MNXM163817,gacpail_cho_c;M_gacpail_cho;gacpail_cho
gal,D-Galactose,C6H12O6,180.1559,10231;12936;17118;20956;22373;28061;4139;42741,HMDB00143;HMDB05762,C00124;C00984;D04291,,cpd00108;cpd00724;cpd01112;cpd26818,ALPHA-D-GALACTOSE;D-Galactose;D-galactopyranose,1661;90,,MNXM390,gal_c;M_gal;gal
gal14acglcgalgluside_cho,Lactoneotetraosylceramide,C45H79N2O23R,,10390;12364;12367;12942;17006;21176;22788;22789;27885;5245;62870,,C04922;C06273;G00050;G01184,,cpd03740,Neolactotetraosylceramides,7679;8495,,MNXM1543,gal14acglcgalgluside_cho_g;M_gal14acglcgalgluside_cho;gal14acglcgalgluside_cho
gal1p,Alpha-D-Galactose 1-phosphate,C6H11O9P,258.121,10232;12305;12306;17973;22374;42878;58336,HMDB00645;HMDB03359,C00446;C03384,,cpd00348;cpd19025,GALACTOSE-1P,1381;1495;24789,30170,MNXM336,gal1p_c;M_gal1p;gal1p
galacgalfuc12gal14acglcgalgluside_cho,(Gal)3 (GalNAc)1 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,C65H112N3O37R,,62575,,,,cpd21545,,,,MNXM41053,galacgalfuc12gal14acglcgalgluside_cho_g;M_galacgalfuc12gal14acglcgalgluside_cho;galacgalfuc12gal14acglcgalgluside_cho
galacgalfucgalacglcgal14acglcgalgluside_cho,(Gal)4 (GalNAc)1 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,,,,,,,cpd21559,,,,MNXM163981,galacgalfucgalacglcgal14acglcgalgluside_cho_g;M_galacgalfucgalacglcgal14acglcgalgluside_cho;galacgalfucgalacglcgal14acglcgalgluside_cho
galacglc13galacglcgal14acglcgalgluside_cho,NLc8Cer,C73H125N4O43R,,63085,,G00069,,cpd21556,,,,MNXM43847,galacglc13galacglcgal14acglcgalgluside_cho_g;M_galacglc13galacglcgal14acglcgalgluside_cho;galacglc13galacglcgal14acglcgalgluside_cho
galacglcgal14acglcgalgluside_cho,I-antigen,C58H102N3O32RCO,,,,,,,,,,MNXM162757,galacglcgal14acglcgalgluside_cho_g;M_galacglcgal14acglcgalgluside_cho;galacglcgal14acglcgalgluside_cho
galacglcgalacglcgal14acglcgalgluside_cho,I-antigen,C72H125N4O42RCO,,,,,,,,,,MNXM164839,galacglcgalacglcgal14acglcgalgluside_cho_g;M_galacglcgalacglcgal14acglcgalgluside_cho;galacglcgalacglcgal14acglcgalgluside_cho
galacglcgalgbside_cho,Gal-GlcNAc-Gal globoside,C64H112N3O37RCO,,,,,,,,,,MNXM163391,galacglcgalgbside_cho_c;M_galacglcgalgbside_cho;galacglcgalgbside_cho
galacglcgalgluside_cho,Lc4Cer,C45H79N2O23R,,11165;17292;21173;28127;5242;528,,C04910;G00037,,cpd02989,13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU,,,MNXM1319,galacglcgalgluside_cho_g;M_galacglcgalgluside_cho;galacglcgalgluside_cho
galfuc12gal14acglcgalgluside_cho,(Gal)3 (Glc)1 (GlcNAc)1 (LFuc)1 (Cer)1,C56H99N2O31RCO,,,,,,,,,,MNXM163059,galfuc12gal14acglcgalgluside_cho_c;M_galfuc12gal14acglcgalgluside_cho;galfuc12gal14acglcgalgluside_cho
galfucgalacglcgal14acglcgalgluside_cho,(Gal)4 (Glc)1 (GlcNAc)2 (LFuc)1 (Cer)1,C71H122N3O42R,,90154,,,,cpd21568,,,,MNXM163273,galfucgalacglcgal14acglcgalgluside_cho_c;M_galfucgalacglcgal14acglcgalgluside_cho;galfucgalacglcgal14acglcgalgluside_cho
galfucgalacglcgalgluside_cho,Type IB glycolipid,,,,,,,cpd21531,,,,MNXM163600,galfucgalacglcgalgluside_cho_g;M_galfucgalacglcgalgluside_cho;M_galfucgalacglcgalgluside_hs;galfucgalacglcgalgluside_cho;galfucgalacglcgalgluside_hs
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_cho,(Gal)6 (Glc)1 (GlcNAc)3 (LFuc)2 (Cer)1,C96H165N4O60RCO,,,,,,,,,,MNXM163063,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_cho_c;M_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_cho;galgalfucfucgalacglcgalacglcgal14acglcgalgluside_cho
galgalgalthcrm_cho,Gal-Gal-Gal-Gal-Gal-Glc-Cer,C54H96NO32RCO,,,,,,,,,,MNXM163812,galgalgalthcrm_cho_c;M_galgalgalthcrm_cho;galgalgalthcrm_cho
galgbside_cho,Galactosylgloboside,C51H89N2O28R,,62571,,G00097,,cpd21579,SSEA3,,,MNXM43908,galgbside_cho_g;M_galgbside_cho;galgbside_cho
galgluside_cho,Galactosyl glucosyl ceramide,C30H56NO12RCO,,,,,,,,,,MNXM162474,galgluside_cho_c;M_galgluside_cho;galgluside_cho
galside_cho,D-galactosyl-N-acylsphingosine,C24H46NO7RCO,,,,,,,,,,MNXM162408,galside_cho_c;M_galside_cho;galside_cho
galt,Galactitol,C6H14O6,182.1718,14286;16813;24139;5251;53575,HMDB00107,C01697,,cpd01171,GALACTITOL,2311,,MNXM1233,galt_c;M_galt;galt
gam,D-Glucosamine,C6H14NO5,180.1785,12961;17315;4162;47972;47977;5417;58723,HMDB01514;HMDB06479;HMDB15410,C00329;D04334,,cpd00276;cpd01247;cpd27103,GLUCOSAMINE,1591;1592,6786660,MNXM533,gam_c;M_gam;gam
gam6p,D-Glucosamine 6-phosphate,C6H13NO8P,258.1436,12962;47987;58725,,C00352,,cpd00288,D-GLUCOSAMINE-6-P,1372,,MNXM370,gam6p_c;M_gam6p;gam6p
gar,N1-(5-Phospho-D-ribosyl)glycinamide,C7H14N2O8P,285.16900000000004,12623;18349;1983;20499;58457,HMDB02022,C03838,,cpd02394,5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,1887,,MNXM463,gar_c;M_gar;gar
gbdp,"Guanosine 3,5-bis(diphosphate)",C10H11N5O17P4,,,,,,,,,,MNXM164823,gbdp_c;M_gbdp;gbdp
gbside_cho,Globoside,,,61360,,C03272;G00094,LMSP0505BN00,cpd02088,,6519,1605608,MNXM96504,gbside_cho_c;M_gbside_cho;gbside_cho
gcald,Glycolaldehyde,C2H4O2,60.052,131198;14347;17071;24386;5474,HMDB02165;HMDB03344,C00266,,cpd00229,GLYCOLALDEHYDE,2004,,MNXM349,gcald_c;M_gcald;gcald
gchola,Glycocholate,C26H42NO6,464.6153,11894;14345;17687;20215;24377;24378;29080;29746;42804;5464;58235,HMDB00138,C01921,LMST05030001,cpd01318,GLYCOCHOLIC_ACID,5888,,MNXM1560,gchola_c
gd1a_cho,N-acetylneuraminosyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminosyl)-D-galactosyl-D-glucosylceramide dianion,C66H111N4O38RCO,,,,,,,,,,MNXM163472,gd1a_cho_g;M_gd1a_cho;gd1a_cho
gd1b2_cho,GD1beta,C66H111N4O38RCO,,,,G00132,,,,,,MNXM163394,gd1b2_cho_c;M_gd1b2_cho;gd1b2_cho
gd1b_cho,GD1b,C67H111N4O39R,,21150;28175;5209;87785,,C06141;G00115;G02755;G04395;G04443,LMSP0601AQ00,cpd03661,Ganglioside-GD1b,8418,,MNXM44096,gd1b_cho_g;M_gd1b_cho;gd1b_cho
gd1c_cho,GD1c,C67H111N4O39R,,87787;87990,,G00126,LMSP0601BN00,cpd21592,Ganglioside-GD1c,,,MNXM54795,gd1c_cho_c;M_gd1c_cho;gd1c_cho
gd2_cho,GD2,C61H101N4O34R,,21178;28648;5210;5247;78542,,C06134;G00114,LMSP0601AN00,cpd03655,Ganglioside-GD2,,,MNXM44103,gd2_cho_g;M_gd2_cho;gd2_cho
gd3_cho,GD3,C53H88N3O29R,,21151;21918;27558;28424;5211;71174;7536;78436,,C06133;G00113,LMSP0601AK00,cpd03654,,,,MNXM162464,gd3_cho_c;M_gd3_cho;gd3_cho
gdp,GDP C10H12N5O11P2,C10H12N5O11P2,440.1783,13327;14379;17552;24448;42738;5212;58189;65180,HMDB01201,C00035;G10620,,cpd00031,GDP,1280,111349;113525;205689;29420,MNXM30,gdp_c;M_gdp;gdp
gdpddman,GDP-4-dehydro-6-deoxy-D-mannose,C16H21N5O15P2,585.3111,13329;16955;21153;5214;57964,,C01222,,cpd00900,GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,1566,6787618,MNXM516,gdpddman_c;M_gdpddman;gdpddman
gdpfuc,GDP-L-fucose,C16H23N5O15P2,587.3269,13335;17009;21162;5221;57984,HMDB01095,C00325;G10615,,cpd00272;cpd27127,GUANOSINE_DIPHOSPHATE_FUCOSE,1562,205683;742368,MNXM90541,gdpfuc_c;M_gdpfuc;gdpfuc
gdpmann,GDP-D-mannose,C16H23N5O16P2,603.3263,13328;13333;13340;15820;21159;42729;5225;57527;84880;84881,HMDB01163,C00096;G10614,,cpd00083,GDP-MANNOSE,1559;3925,,MNXM82,gdpmann_c;M_gdpmann;gdpmann
gdptp,Guanosine 3'-diphosphate 5'-triphosphate,C10H12N5O20P5,677.0959,14378;14382;16690;24446;5566;60028;71477,HMDB60480,C04494,,cpd02740,GDP-TP,1817,,MNXM1561,gdptp_c;M_gdptp;gdptp
ggn,"Primed glycogenin (glycogenin-8[1,4-Glc])",C48H81O41X,,,,,,,,,,MNXM12747,ggn_c;M_ggn;ggn
glac,"D-glucurono-6,3-lactone",C6H8O6,176.1241,12976;18268;21018;4181,HMDB06355,C02670;D01800,,cpd01735,D-GLUCURONOLACTONE,2485,,MNXM17108,glac_c;M_glcurn;glcurn
glc1man,"Glucose-1,3-mannose oligosaccharide",C12H22O11,342.2965,10247;22391;27554,HMDB60068,C04147,,cpd02558,,,,MNXM41174,glc1man_g
glc2man,"(2)[glucose-1,3]-mannose oligosaccharide",C18H32O16,,,,,,,,,,MNXM13501,glc2man_g;M_glc2man;glc2man
glc3man,"Glucose-1,2-(2)[glucose-1,3]-mannose oligosaccharide",C24H42O21,,,,,,,,,,MNXM18136,glc3man_g;M_glc3man;glc3man
glc__D,D-Glucose,C6H12O6,180.1559,12965;17634;20999;4167,HMDB00122;HMDB06564,C00031;D00009,,cpd00027;cpd26821,D-Glucose,1406;1407,,MNXM41,glc__D_c;M_glc__D;glc__D
glcn,D-Gluconate,C6H11O7,195.1479,12955;18391;20983;20985;20986;24265;24266;33198;4157;42715,HMDB00625;HMDB03373,C00257,,cpd00222,GLUCONATE,1998;23420,,MNXM341,glcn_c;M_glcn;M_glcn__D;glcn;glcn__D
glcr,D-Glucarate,C6H8O8,208.12400000000002,12953;16002;20980;20982;30612;33801;4155;42731,HMDB00663;HMDB29881,C00818,LMFA01170108,cpd00571;cpd00609;cpd01246,D-GLUCARATE,5252,,MNXM744,glcr_c;M_glcr;glcr
glcur,D-Glucuronate,C6H9O7,193.132,12975;15748;21013;4178;47952;58720,HMDB00127,C00191;C16245,,cpd19178,D-Glucopyranuronate;GLUCURONATE,1966,1678868;2162232;5661264;5694569,MNXM241,glcur_c;M_glcur;glcur
glcur1p,D-Glucuronate 1-phosphate,C6H8O10P,271.0971,21014;28547;35145;4179,HMDB03976;HMDB06329,C05385,,cpd03191,,1842,,MNXM17106,glcur1p_c;M_glcur1p;glcur1p
glgchlo,Beta glucan-glycocholate complex,C1200026H2200043NO1100006,,,,,,,,,,MNXM164589,glgchlo_e;M_glgchlo;glgchlo
gln__L,L-Glutamine,C5H10N2O3,146.1445,13110;18050;21308;24316;28300;32665;32666;32678;32679;42812;42814;42899;42943;5432;58359;6227,HMDB00641,C00064;C00303;D00015,,cpd00053;cpd00253,GLN,2011;74,113522;212615;29472,MNXM37,gln__L_c;M_gln__L;gln__L
gltcho,Beta glucan-taurocholic acid complex,C1200026H2200045NO1100007S,,,,,,,,,,MNXM164590,gltcho_e;M_gltcho;gltcho
gltdechol,Beta glucan-taurodeoxycholic acid complex,C1200026H2200044NO1100006S,,,,,,,,,,MNXM164591,gltdechol_e;M_gltdechol;gltdechol
glu5p,L-Glutamate 5-phosphate,C5H8NO7P,225.0944,13108;13113;17798;21312;58274;6230,HMDB01228,C03287,,cpd02097,L-GLUTAMATE-5-P,1742,,MNXM1280,glu5p_c;M_glu5p;glu5p
glu5sa,L-Glutamate 5-semialdehyde,C5H9NO3,131.1299,13109;17232;21302;58066;6225,HMDB02104,C01165,,cpd00858,L-GLUTAMATE_GAMMA-SEMIALDEHYDE,2262,31339,MNXM245,glu5sa_c;M_glu5sa;glu5sa
glu__L,L-Glutamate,C5H8NO4,146.1219,13107;14321;16015;18237;21301;21304;24314;29985;29987;29988;42825;5431;6224;76051,HMDB00148;HMDB60475,C00025;C00302;D00007;D04341,,cpd00023;cpd19002;cpd27177,GLT;Glutamates,2010;73,113552;210382;29404;428614,MNXM89557,glu__L_c;M_glu__L;glu__L
gluala,5 L Glutamyl L alanine C8H13N2O5,C8H13N2O5,217.1998,10569;12399;16834;18582;57915,,C03738,,cpd02343,CPD-407,,,MNXM4594,gluala_c
glucys,Gamma-L-Glutamyl-L-cysteine,C8H13N2O5S,249.265,10566;10570;12400;12404;17515;17971;24185;24194;39975;58173,HMDB01049,C00669,,,L-GAMMA-GLUTAMYLCYSTEINE,5172,174393,MNXM412,glucys_c;M_glucys;glucys
gluside_cho,D-glucosyl-N-acylsphingosine,C25H46NO8R,,12971;18368;24260;36500;5422,HMDB00140,C01190;G10238,LMSP0501AA00,cpd00878,Glucosyl-ceramides,5432,1605592;1660674;1861764;1861782,MNXM146539,gluside_cho_c;M_gluside_cho;gluside_cho
glutcoa,Glutaryl-CoA mitochondria,C26H37N7O19P3S,876.597,14326;15524;24332;5436;57378,HMDB01339,C00527,LMFA07050324,cpd00413,GLUTARYL-COA,2075,70955,MNXM382,glutcoa_m;M_glutcoa;glutcoa
glx,Glyoxylate,C2HO3,73.0281,14368;16891;24420;24421;35977;36655;42767;5509,HMDB00119,C00048,,cpd00040,GLYOX,1838,389678;904849,MNXM69,glx_c;M_glx;glx
gly,Glycine,C2H5NO2,75.0666,10792;14344;15428;24368;32507;32508;42964;5460;57305,HMDB00123,C00037;D00011,,cpd00033,GLY,66,113545;159549;193446;266029;29424,MNXM29,gly_c;M_gly;gly
glyald,D-Glyceraldehyde,C3H6O3,90.0779,12982;17378;21025;39973;4186,,C00577,,cpd00448,GLYCERALD,1409,30393,MNXM435,glyald_c;M_glyald;glyald
glyb,Glycine betaine,C5H11NO2,117.1463,12531;13895;15264;17750;22858;24370;27128;29050;3073;41134;41139,HMDB00043;HMDB59606,C00719;D07523,,cpd00540,BETAINE,5196,352015;6798202,MNXM289,glyb_c;M_glyb;glyb
glyc,Glycerol,C3H8O3,92.0938,131422;14334;17754;24351;42998;5448,HMDB00131,C00116;D00028,,cpd00100,GLYCEROL,1303,192438;76116,MNXM89612,glyc_c;M_glyc;glyc
